"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6"
"AIPGENE24158",0.0285291725710005,0.0481842323371396,1.53432808132918,25.4722141215871,26.0040268813091,25.0841176987348,25.30085305193,25.7291228022934,26.4334299130961,26.5832265041531,NA,NA,25.508185920923,NA,NA,23.1347502002575
"AIPGENE24167",1.74528454165208e-06,1.04241085805947e-05,-2.533767727727,25.379363872279,23.9062610671289,23.6087816244454,23.6028089583089,23.660249967174,24.9513610519818,24.945417381454,27.1756712801485,26.096071325262,27.0279582125044,25.959940384999,26.5119405689787,27.1059046449624
"AIPGENE24171",NA,NA,NA,NA,24.2935260645637,25.0061567225907,25.1803107151026,24.6218874121998,24.629535292493,25.0970700427201,NA,NA,NA,NA,NA,NA
"AIPGENE24201",NA,NA,NA,NA,NA,23.2178019540228,NA,NA,22.6484961688294,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24229",NA,NA,NA,NA,22.7509049125497,22.7728586883273,22.8357638044255,22.3330002396536,21.8199262836393,22.159294335638,NA,NA,NA,NA,NA,NA
"AIPGENE2426",NA,NA,NA,NA,NA,NA,NA,NA,22.720383832194,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24260",NA,NA,NA,NA,NA,NA,NA,NA,23.5059490251544,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24262",NA,NA,NA,NA,25.7561675528826,22.5952984050613,22.5984750264186,23.0673206817158,21.8627688697119,NA,NA,NA,NA,NA,NA,NA
"AIPGENE2427",NA,NA,NA,NA,25.5285928449944,25.2930227498438,25.5916812093016,25.8506129265239,25.4094688157273,25.5391912723195,NA,NA,NA,NA,NA,NA
"AIPGENE24288",0.237141972912542,0.292380574350205,-0.785024603522963,23.7437793800801,23.210870017345,22.6777494216141,23.5459142984269,23.8217320629873,24.0825922891944,24.4509399593217,NA,NA,24.4166576116712,NA,NA,NA
