Treatment,Animal,Dish,Score 14dpi,Deformed,Fert,Area,Mean,Intden,Median,%Area,Rawinteden,MinThr,MaxThr,PCR well,,
SLC26A11 P2,5,4,Partial,Joined,227,196985.485,6650.573,1310066335,5162,100,7937917683,0,65535,,,
SLC26A11 P2,6,4,White,Joined,227,184612.508,2033.025,375321847.9,1543,100,2274139754,0,65535,,,
SLC26A11 P2,7,4,Partial,Normal,227,217752.348,2697.681,587426433.4,1650,100,3559317989,0,65535,,,
SLC26A11 P2,8,4,Partial,Normal,227,223704.481,1447.808,323881092.4,1163,100,1962451352,0,65535,,,
SLC26A11 P2,9,4,Partial,Small,227,175743.475,6615.108,1162562034,5750,100,7044163701,0,65535,,,
WT,1,1,Brown,Normal,226,327512.551,13317.72,4361720452,13011,100,26428402768,0,65535,,,
WT,2,1,Brown,Normal,226,276203.4,9013.97,2489689111,9060,100,15085455362,0,65535,,,
WT,3,1,Brown,Normal,226,252911.605,13419.609,3393974801,12263,100,20564678191,0,65535,,,
WT,4,1,Brown,Normal,226,220190.305,15161.566,3338429822,15582,100,20228121592,0,65535,,,
WT,5,1,Brown,Normal,226,208348.258,13945.946,2905613644,13599,100,17605613782,0,65535,,,
WT,6,1,Brown,Normal,226,236204.703,15124.702,3572525804,13183,100,21646549488,0,65535,,,
WT,7,1,Brown,Normal,226,319714.789,13820.889,4418742628,14138,100,26773923047,0,65535,,,
WT,8,1,Brown,Normal,226,191263.416,14101.654,2697130539,12566,100,16342378724,0,65535,,,
WT,9,1,Brown,Normal,226,407502.063,9448.396,3850240756,8427,100,23329260685,0,65535,,,
WT,10,1,Brown,Normal,226,251814.591,17070.986,4298723281,17235,100,26046705142,0,65535,,,
WT,11,1,Brown,Normal,226,264918.856,12528.434,3319018375,11749,100,20110504288,0,65535,,,
WT,12,1,Brown,Normal,226,236293.989,15558.18,3676304450,14917,100,22275362187,0,65535,,,
WT,13,1,Brown,Normal,226,369533.804,11780.482,4353286217,11046,100,26377311374,0,65535,,,
WT,1,2,Brown,Normal,226,246924.979,8516.882,2103030831,5465,100,12742626215,0,65535,,,
WT,2,2,Brown,Normal,226,316686.322,13098.856,4148228502,11541,100,25134831343,0,65535,,,
WT,3,2,Partial,Normal,226,265085.71,5799.845,1537455934,3109,100,9315710450,0,65535,,,
WT,4,2,Brown,Normal,226,193603.175,10396.7,2012834220,10080,100,12196109404,0,65535,,,
WT,5,2,Brown,Normal,226,228049.134,6897.505,1572970149,4497,100,9530897199,0,65535,,,
WT,6,2,Brown,Normal,226,256802.896,9016.998,2315591159,6058,100,14030565869,0,65535,,,
WT,7,2,Brown,Normal,226,276701.983,12046.543,3333302448,11791,100,20197053945,0,65535,,,
WT,8,2,Brown,Misshapen,226,190383.758,8186.424,1558562095,6387,100,9443596315,0,65535,,,
WT,9,2,Brown,Normal,226,161203.535,11730.992,1891077342,8877,100,11458363500,0,65535,,,
WT,10,2,Brown,Normal,226,203071.63,7032.91,1428184418,4310,100,8653615500,0,65535,,,
WT,11,2,Partial,Small,226,179549.11,4175.166,749647392.5,3550,100,4542242735,0,65535,,,
WT,12,2,Partial,Smack,226,212767.509,1074.69,228659098.5,673,100,1385484882,0,65535,,,
WT,13,2,Brown,Normal,226,201127.14,10930.994,2198519561,10929,100,13321208885,0,65535,,,
WT,14,2,Brown,Normal,226,277869.8,9998.752,2778351187,8820,100,16834508624,0,65535,,,
WT,15,2,Brown,Normal,226,202284.064,11419.677,2310018605,10835,100,13996800802,0,65535,,,
WT,16,2,Brown,Normal,226,275682.537,9003.443,2482092062,7032,100,15039423536,0,65535,,,
WT,17,2,Brown,Normal,226,254713.006,11665.903,2971457345,10156,100,18004572114,0,65535,,,
WT,18,2,Brown,Normal,226,264006.355,10088.585,2663450504,8738,100,16138305587,0,65535,,,
WT,1,3,Brown,Normal,226,318291.492,7136.282,2271417817,4741,100,13762911979,0,65535,,,
WT,13,3,Brown,Normal,226,212635.807,14378.844,3057457035,13880,100,18525659053,0,65535,,,
WT,2,3,Brown,Normal,226,195627.544,14943.533,2923366694,14179,100,17713182569,0,65535,,,
WT,3,3,Brown,Normal,226,292075.865,11222.227,3277741768,10599,100,19860402211,0,65535,,,
WT,4,3,Brown,Normal,226,276757.932,14669.148,4059803051,13438,100,24599046296,0,65535,,,
WT,5,3,Brown,Normal,226,226428.285,11785.722,2668620827,11928,100,16169633467,0,65535,,,
WT,6,3,Brown,Normal,226,313898.978,13258.766,4161913045,10656,100,25217748344,0,65535,,,
WT,7,3,Brown,Normal,226,290811.006,15753.355,4581248890,15633,100,27758576494,0,65535,,,
WT,8,3,Brown,Normal,226,290193.595,12992.199,3770253024,11094,100,22844612786,0,65535,,,
WT,9,3,Brown,Normal,226,252704.151,9682.135,2446715669,9428,100,14825071872,0,65535,,,
WT,10,3,Brown,Normal,226,321361.548,11347.679,3646707792,10838,100,22096030935,0,65535,,,
WT,11,3,Brown,Normal,226,248308.171,12189.877,3026846021,11376,100,18340181646,0,65535,,,
WT,12,3,Brown,Normal,226,262432.378,12689.631,3330169987,12527,100,20178073827,0,65535,,,
WT,1,1,Brown,Normal,227,692223.917,11067.27,7661028893,8243,100,46419494257,0,65535,,,
WT,2,1,Brown,Joined,227,298826.787,11681.262,3490673881,10694,100,21150594580,0,65535,,,
WT,3,1,Brown,Joined,227,257535.009,11378.144,2930270313,11436,100,17755012790,0,65535,,,
WT,4,1,Brown,Joined,227,278545.8,15799.108,4400775051,15595,100,26665054402,0,65535,,,
WT,5,1,Brown,Joined,227,304562.554,10454.811,3184143999,9065,100,19293277200,0,65535,,,
WT,6,1,Brown,Normal,227,232874.215,10120.768,2356865911,7208,100,14280656706,0,65535,,,
WT,7,1,White,Not developed,227,324416.091,1227.698,398285120.3,334,100,2413278179,0,65535,,,
WT,8,1,Brown,Normal,227,358121.684,13094.088,4689276823,12987,100,28413136355,0,65535,,,
WT,9,1,Brown,Normal,227,318792.055,11383.84,3629077763,8616,100,21989207549,0,65535,,,
WT,1,2,Brown,Normal,227,291220.303,18293.827,5327533805,19066,100,32280445401,0,65535,,,
WT,1,3,Brown,Normal,227,339754.159,16403.481,5573150754,16591,100,33768680818,0,65535,,,
WT,2,3,Brown,Normal,227,279523.986,15335.469,4286631443,14994,100,25973438610,0,65535,,,
