EXP,Date_EP,Parental_Cross,Infection,Algae_age_d,Tag,shRNA_conc,AIPGENE,Gene,Replicate,DPF,APO,SYM,Total,Prop_sym,Mean_Scram,Prop_norm
Maintenance,2025_07_30,PLF3 x CC7,"150,000",14,EP073025,60,,shScrambled,3,8 DPF,51,35,86,0.406976744,0.409997,0.992633469
Maintenance,2025_07_30,PLF3 x CC7,"150,000",14,EP073025,60,,CTSB,1,8 DPF,59,37,96,0.385416667,0.409997,0.940047529
Maintenance,2025_07_30,PLF3 x CC7,"150,000",14,EP073025,60,,CTSB,2,8 DPF,65,37,102,0.362745098,0.409997,0.884750615
Maintenance,2025_07_30,PLF3 x CC7,"150,000",14,EP073025,60,,CTSB,3,8 DPF,58,41,99,0.414141414,0.409997,1.010108401
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,shScrambled,1,8 DPF,38,53,91,0.582417582,0.60207,0.967358584
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,shScrambled,2,8 DPF,40,72,112,0.642857143,0.60207,1.067744852
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,shScrambled,3,8 DPF,44,61,105,0.580952381,0.60207,0.964924977
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,CTSB,1,8 DPF,36,68,104,0.653846154,0.60207,1.0859969
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,CTSB,2,8 DPF,35,60,95,0.631578947,0.60207,1.049012486
Maintenance,2025_07_23,PLF3 x CC7,"150,000",14,EP072325,60,,CTSB,3,8 DPF,32,73,105,0.695238095,0.60207,1.154746284
