GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0018193	peptidyl-amino acid modification	775	48	43.01	0.00400
GO:0044281	small molecule metabolic process	2981	334	165.44	0.00449
GO:0006559	L-phenylalanine catabolic process	13	4	0.72	0.00451
GO:0061025	membrane fusion	75	10	4.16	0.00452
GO:0016482	cytosolic transport	453	41	25.14	0.00462
GO:0006206	pyrimidine nucleobase metabolic process	20	8	1.11	0.00498
GO:0046500	S-adenosylmethionine metabolic process	14	5	0.78	0.00502
GO:0005980	glycogen catabolic process	8	4	0.44	0.00503
GO:0019509	L-methionine salvage from methylthioadenosine	7	3	0.39	0.00504
GO:0045429	positive regulation of nitric oxide biosynthetic process	7	3	0.39	0.00504
GO:0030036	actin cytoskeleton organization	407	61	22.59	0.00555
GO:0051014	actin filament severing	14	4	0.78	0.00603
GO:0006521	regulation of cellular amino acid metabolic process	14	4	0.78	0.00603
GO:0061077	chaperone-mediated protein folding	22	5	1.22	0.00622
GO:0001649	osteoblast differentiation	120	7	6.66	0.00631
GO:0009117	nucleotide metabolic process	1698	136	94.24	0.00645
GO:0046939	nucleotide phosphorylation	68	18	3.77	0.00750
GO:0060281	regulation of oocyte development	8	3	0.44	0.00773
GO:0048208	COPII vesicle coating	15	4	0.83	0.00787
GO:0051231	spindle elongation	15	4	0.83	0.00787
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	15	4	0.83	0.00787
GO:0006006	glucose metabolic process	110	26	6.1	0.00821
GO:0055001	muscle cell development	97	18	5.38	0.00872
GO:0051603	proteolysis involved in protein catabolic process	346	34	19.2	0.00878
GO:0051289	protein homotetramerization	33	6	1.83	0.00879
GO:0006085	acetyl-CoA biosynthetic process	11	4	0.61	0.00887
GO:0000256	allantoin catabolic process	3	2	0.17	0.00889
GO:0090204	protein localization to nuclear pore	3	2	0.17	0.00889
GO:0019682	glyceraldehyde-3-phosphate metabolic process	3	2	0.17	0.00889
GO:0097052	L-kynurenine metabolic process	3	2	0.17	0.00889
GO:0044209	AMP salvage	3	2	0.17	0.00889
GO:0031453	positive regulation of heterochromatin formation	3	2	0.17	0.00889
GO:0007312	oocyte nucleus migration involved in oocyte dorsal/ventral axis specification	3	2	0.17	0.00889
GO:0036302	atrioventricular canal development	3	2	0.17	0.00889
GO:0035372	protein localization to microtubule	3	2	0.17	0.00889
GO:0034609	spicule insertion	3	2	0.17	0.00889
GO:0008103	oocyte microtubule cytoskeleton polarization	3	2	0.17	0.00889
GO:0006499	N-terminal protein myristoylation	3	2	0.17	0.00889
GO:0006210	thymine catabolic process	3	2	0.17	0.00889
GO:0006883	intracellular sodium ion homeostasis	3	2	0.17	0.00889
GO:0042989	sequestering of actin monomers	3	2	0.17	0.00889
GO:0030388	fructose 1,6-bisphosphate metabolic process	3	2	0.17	0.00889
GO:0016032	viral process	333	27	18.48	0.00903
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	16	4	0.89	0.01004
GO:0006635	fatty acid beta-oxidation	42	10	2.33	0.01078
GO:0006536	glutamate metabolic process	30	7	1.66	0.01087
GO:0045010	actin nucleation	14	5	0.78	0.01108
GO:0019627	urea metabolic process	10	4	0.55	0.01110
GO:0015986	proton motive force-driven ATP synthesis	11	4	0.61	0.01110
GO:0035999	tetrahydrofolate interconversion	9	3	0.5	0.01113
GO:0031115	negative regulation of microtubule polymerization	9	3	0.5	0.01113
GO:0006572	tyrosine catabolic process	9	3	0.5	0.01113
GO:0006520	amino acid metabolic process	444	102	24.64	0.01115
GO:0035821	modulation of process of another organism	116	12	6.44	0.01190
GO:0051352	negative regulation of ligase activity	17	4	0.94	0.01256
GO:0051444	negative regulation of ubiquitin-protein transferase activity	17	4	0.94	0.01256
GO:0032075	positive regulation of nuclease activity	26	5	1.44	0.01294
GO:0043171	peptide catabolic process	27	5	1.5	0.01518
GO:0042572	retinol metabolic process	27	5	1.5	0.01518
GO:0046033	AMP metabolic process	20	5	1.11	0.01519
