Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE8392	0	0	0	0	0	0	10431582	3533628.2	10414313	6114957.5	5961154.5	0
AIPGENE8400	0	0	0	0	0	0	24765468	19630632	13474278	12409359	42113884	14076894
AIPGENE8401	0	0	0	0	0	0	1162921.4	0	0	3758990	1305503	0
AIPGENE8404	0	0	0	0	0	0	10787208	0	0	0	0	0
AIPGENE8405	0	0	0	0	0	0	0	8901812	8395510	0	6298917	0
AIPGENE8411	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8415	0	0	0	0	0	0	3291713.8	1393530.5	3447700.8	4161696.8	6379388	0
AIPGENE843	0	0	0	0	0	0	18927036	51440440	20191192	62407004	126194800	44306548
AIPGENE8435	0	0	19691678	0	0	0	475824352	489198336	654508670	576169280	416435392	341765056
AIPGENE8436	10959963	15580525	0	0	0	0	15382605	20141982	25477096	21583290	42137520	27484264
AIPGENE8437	0	0	0	0	0	0	2761936.5	3085502.8	2346928.8	9019729	0	0
AIPGENE8440	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8451	0	0	0	0	0	0	39419264	55726156	38096224	32127536	44650832	20726958
AIPGENE8465	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8486	0	0	0	0	0	0	0	6641084.5	0	6599301	6508927	0
AIPGENE852	0	0	0	0	0	0	6160617.5	0	0	0	0	0
AIPGENE8585	0	0	0	0	0	0	19728336	0	62412224	49659272	58121876	9839000
AIPGENE8598	0	0	0	0	0	0	17430880	0	11640194	20606546	20638816	12212720
AIPGENE8627	0	0	0	0	0	0	101251896	182417808	150781632	124174032	131635752	185489040
AIPGENE8638	0	11169776	0	0	0	0	12159312	20501988	10972953	3673444.8	5871733	0
AIPGENE8641	0	0	0	0	0	0	0	0	7319590.5	0	18566982	0
AIPGENE865	66822084	71550136	91079504	46294860	28909892	21549594	2180884480	1748227970	1691792380	2249013250	2047891580	1822038400
AIPGENE8653	0	0	0	0	0	0	0	0	3727983.2	5783362	0	7548889.5
AIPGENE8654	0	18445112	22708638	0	0	0	83938320	133766200	72250960	113756000	58957864	123838112
AIPGENE8665	0	0	0	0	0	0	200871200	279814208	123426104	231466896	244586512	269948416
AIPGENE8687	0	0	9558680	0	0	0	27601124	54640472	30234202	47525824	50076472	23898932
AIPGENE8715	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8735	0	0	0	0	0	0	0	21411230	20181602	28593494	21036022	8929387
AIPGENE8745	0	0	0	0	0	0	15024130	0	8287967.5	9757233	7620355	8775116
AIPGENE8809	0	0	0	0	0	0	0	9940445	25191530	16332754	11730913	0
AIPGENE8814	0	0	0	0	0	0	0	7019715.5	6933219	3865831.2	0	0
AIPGENE883	0	0	0	0	0	0	2963062	0	4941148	0	2428949	0
AIPGENE8833	0	0	0	0	0	0	33285030	16425782	55692244	24084772	36695260	10271183
